epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,612.584,0.72603,0.98486,1.05497,0.95512,0.74858,0.8531,0.70101,0.77088,2.16266,1.07258,0.000594125,0.000594125,0.000594125
55,623.772,0.73359,0.99351,1.02614,0.95512,0.74858,0.8531,0.70101,0.77088,2.16266,1.07258,0.00058175,0.00058175,0.00058175
56,635.009,0.77634,1.09806,1.07633,0.93703,0.76232,0.8585,0.70176,0.79895,2.07744,1.09448,0.000569375,0.000569375,0.000569375
57,646.176,0.6417,0.90289,0.99107,0.93703,0.76232,0.8585,0.70176,0.79895,2.07744,1.09448,0.000557,0.000557,0.000557
58,657.293,0.61661,0.95352,0.96966,0.92953,0.76338,0.86988,0.7145,0.774,2.00497,1.10924,0.000544625,0.000544625,0.000544625
59,668.545,0.61392,0.90568,0.95753,0.92953,0.76338,0.86988,0.7145,0.774,2.00497,1.10924,0.00053225,0.00053225,0.00053225
60,679.988,0.64718,0.9155,0.96474,0.94276,0.78976,0.87882,0.71508,0.72628,1.85981,1.0764,0.000519875,0.000519875,0.000519875
61,691.143,0.6105,0.8884,0.96811,0.94276,0.78976,0.87882,0.71508,0.72628,1.85981,1.0764,0.0005075,0.0005075,0.0005075
62,702.294,0.59023,0.8566,0.933,0.97317,0.78389,0.88501,0.73295,0.70529,1.7452,1.06911,0.000495125,0.000495125,0.000495125
63,713.767,0.5663,0.86108,0.96498,0.97317,0.78389,0.88501,0.73295,0.70529,1.7452,1.06911,0.00048275,0.00048275,0.00048275
64,725.17,0.61205,0.89018,0.94813,0.9739,0.79424,0.90207,0.75588,0.69396,1.61803,1.05746,0.000470375,0.000470375,0.000470375
65,736.543,0.52044,0.8204,0.92956,0.9739,0.79424,0.90207,0.75588,0.69396,1.61803,1.05746,0.000458,0.000458,0.000458
66,747.79,0.61579,0.86529,0.96899,0.97862,0.771,0.90664,0.77042,0.6691,1.50084,1.01413,0.000445625,0.000445625,0.000445625
